YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2022,"Watson, Peyton",SF,78.75,203.4,23.1,0.052,84.50,107.5,8.50,9.5,28.0,33.5,11.03,3.24,3.28,NA,107.3%,80.8,135.5,141.0
2022,"Wesley, Blake",SG,75.00,187.2,23.4,0.056,81.25,103.0,8.25,9.0,30.0,36.0,11.55,3.25,3.21,NA,108.3%,74.3,133.0,139.0
2022,"Williams, Alondes",SG,75.75,209.0,25.6,0.072,79.00,102.0,8.50,9.3,30.0,35.5,10.96,3.11,3.15,NA,104.3%,78.6,132.0,137.5
2022,"Williams, Jalen",SG,76.50,209.2,25.1,0.089,86.25,105.5,8.50,9.5,33.5,39.0,11.13,3.17,3.11,NA,112.7%,80.8,139.0,144.5
2022,"Williams, Jaylin",C,80.75,236.6,25.5,0.080,85.00,108.5,8.50,10.5,24.5,30.0,11.64,3.10,3.50,NA,105.3%,89.3,133.0,138.5
2022,"Williams, Mark",C,84.00,242.4,24.2,0.054,90.50,117.0,9.00,9.8,NA,NA,NA,NA,NA,NA,107.7%,87.8,NA,NA
2022,"Williams, Trevion",C,79.25,264.6,29.6,0.108,86.75,108.5,9.00,10.3,27.5,30.0,12.75,3.46,3.48,NA,109.5%,92.3,136.0,138.5
2021,"Abmas, Max",PG,70.50,161.8,22.9,0.055,73.75,94.0,8.00,7.8,28.5,32.5,10.90,3.49,3.12,NA,104.6%,62.0,122.5,126.5
2021,"Bagley, Marcus",SF,78.00,216.8,25.1,0.075,83.00,102.5,8.75,8.5,32.5,38.5,12.26,3.10,3.17,NA,106.4%,74.4,135.0,141.0
2021,"Barnes, Scottie",SF,79.00,225.4,25.4,0.053,86.75,108.0,9.25,10.3,36.0,39.5,10.88,2.99,3.15,NA,109.8%,94.8,144.0,147.5
2021,"Bassey, Charles",C,81.25,230.2,24.5,0.059,87.00,107.5,9.00,9.5,33.0,36.0,12.19,3.33,3.13,NA,107.1%,85.5,140.5,143.5
2021,"Boston Jr., Brandon",SF,77.75,188.0,21.9,0.060,82.75,104.0,9.00,9.8,NA,NA,NA,NA,NA,NA,106.4%,87.8,NA,NA
2021,"Bouknight, James",SG,75.50,190.0,23.4,0.055,80.25,101.5,8.75,9.0,NA,NA,NA,NA,NA,NA,106.3%,78.8,NA,NA
2021,"Brown III, Greg",PF,79.25,206.4,23.1,0.055,84.25,107.0,9.00,9.8,33.5,39.0,10.98,2.98,3.19,NA,106.3%,87.8,140.5,146.0
2021,"Butler, Jared",PG,74.25,193.0,24.6,0.051,76.00,98.5,8.50,8.3,NA,NA,NA,NA,NA,NA,102.4%,70.1,NA,NA
2021,"Champagnie, Justin",PF,77.75,206.4,24.0,0.063,81.50,104.0,8.75,8.5,27.0,35.0,11.94,3.14,3.34,NA,104.8%,74.4,131.0,139.0
2021,"Christopher, Josh",SG,75.25,214.8,26.7,0.058,81.25,101.0,8.75,8.5,29.5,37.5,11.32,3.30,3.14,NA,108.0%,74.4,130.5,138.5
2021,"Dosunmu, Ayo",SG,75.50,194.4,24.0,0.049,82.25,102.0,8.50,8.8,27.0,33.5,11.51,3.27,3.23,NA,108.9%,74.4,129.0,135.5
2021,"Duke Jr., David",SG,76.25,203.6,24.6,0.059,80.75,102.5,8.50,9.0,30.0,39.0,11.21,3.19,3.08,NA,105.9%,76.5,132.5,141.5
2021,"Edwards, Kessler",PF,79.00,203.0,22.9,0.043,83.25,106.0,8.50,8.3,28.0,37.0,11.30,3.38,3.25,NA,105.4%,70.1,134.0,143.0
2021,"Garza, Luka",C,82.00,242.8,25.4,0.117,85.50,107.5,9.00,9.3,24.0,29.5,11.90,3.38,3.51,NA,104.3%,83.3,131.5,137.0
2021,"Gray, RaiQuan",PF,78.50,268.6,30.6,0.173,82.75,105.0,9.25,9.0,26.5,31.5,11.69,3.30,3.25,NA,105.4%,83.3,131.5,136.5
2021,"Grimes, Quentin",SG,76.00,205.0,25.0,0.066,80.00,101.0,8.50,10.0,30.5,38.5,11.09,3.33,3.07,NA,105.3%,85.0,131.5,139.5
2021,"Hauser, Sam",SF,78.75,217.4,24.6,0.079,81.25,102.0,8.25,9.0,28.5,34.5,11.14,3.07,3.34,NA,103.2%,74.3,130.5,136.5
2021,"Henry, Aaron",SF,76.50,209.6,25.2,0.056,82.75,103.5,8.50,9.3,29.0,35.0,11.68,3.18,3.07,NA,108.2%,78.6,132.5,138.5
2021,"Hurt, Matt",PF,80.50,232.4,25.2,0.152,81.50,106.5,9.00,9.0,25.5,32.5,11.44,3.25,3.34,NA,101.2%,81.0,132.0,139.0
